"IBOV","USIM5","CSNA3","SBSP3"
-11.857004205,-22.161172161,-20.550458716,-5.1175841795
-0.24958708018,-25.647058823,-12.394149345,8.4354316292
3.2067557126,16.772151899,-7.4692442883,13.61038961
1.7184519671,10.433604336,-5.0332383666,-1.9204389574
3.7048071363,24.171779141,14.2,-3.2750582752
-3.5606252641,-3.0632411067,-1.6637478108,3.6028437162
0.71143197583,27.420998981,-6.589492431,0.60479181211
6.0514319519,2.3999999999,15.068237049,0.42774566482
-1.9539965875,-19.21875,-9.3591905565,3.2577414526
-3.9105771322,-5.2224371373,-6.9767441861,6.9899665552
-1.8668152688,10.408163265,-8.7,0.4480566844
-0.78435547985,-8.8724584104,-9.8658105684,-10.212109935
-4.2997674835,-9.7363083165,-16.329113924,-4.511545293
-11.305274174,-16.516853933,-9.6822995461,-14.025297619
1.6372716354,17.227456258,10.050251256,1.2548680226
3.6841232326,18.369690011,32.218906224,-16.282051282
4.6529763453,2.03685742,12.351543943,10.464522715
3.6646413695,12.927756654,28.858350951,9.7042513864
-3.2696844589,4.7979797979,0.45464658997,2.6116259478
-1.8577798102,14.136546184,20.738874895,8.6206896553
-7.511600365,-16.256157636,-22.183588317,-15.873015872
-1.1419455057,-17.899159664,-8.5790884719,-3.4141958672
7.0497303266,4.7082906858,-0.99108353006,-1.8604651163
2.4040941009,-14.760508308,-13.008130081,3.9074630433
-0.74962228337,-9.5183486238,0.35046728972,3.125
3.7647104744,-3.9290240811,9.4295692665,8.1267217631
5.0048901596,6.2005277045,21.808510638,-14.692144373
9.7780723279,0.37267080734,-14.23580786,6.4708810354
-11.7037593,-21.163366337,-11.405295315,-7.5268817205
0.94798115133,-10.518053375,-5.172413793,-1.9716885741
0.17573405585,-8.7719298244,-26.545454546,-0.92831356387
-8.6196184489,-2.8846153845,-7.9207920791,-11.452368557
-6.1991321215,-33.663366337,-22.642667478,-21.810699589
9.9686613938,23.283582089,23.798076923,27.368421053
-0.83942384117,20.338983051,9.7121442908,4.5454545454
9.9296187684,20.786127586,48.61878453,2.5211470689
-6.1694143591,-14.572864321,-23.667905824,4.2134831461
0.60652009106,-19.215686274,-16.071428571,-11.051212937
-4.1748304446,-4.6116504856,-16.247582205,5.8787878788
-8.3339886757,-24.17302799,-19.168591224,-9.9599313109
-3.3587131367,12.416107382,12,0.69930069931
1.7954237777,-17.014925373,10.714285714,5.6818181818
-1.6307665474,-20.863309353,26.728110599,13.022700119
-3.9250886525,-29.545454545,-27.272727273,0.052854122441
-6.7913908049,-45.161290323,-11.25,12.625462229
5.9101596336,5.8823529411,46.478873239,6.0506566604
16.970065198,104.542268,37.5,6.0592658117
7.7015283188,38.121546961,83.776223776,11.127897366
-10.089037284,-33.2,-50.228310502,-3.0681818182
6.3027377195,17.964071856,19.571865444,13.638139898
11.221519233,90.35532995,41.560102302,5.9147180193
1.0347595449,-7.4666666667,-22.312556459,-4.5779220779
0.80482202375,1.7291066282,5.6976744185,2.7220142905
11.234087755,27.76203966,18.151815182,11.626366346
-4.6485121065,-7.9822616408,15.73556797,-11.097922848
-2.7121765257,-1.2048192772,-12.711182622,-3.9052069425
7.3770900095,28.048780488,6.4516129032,8.8919763808
3.0802535952,-6.0952380953,3.7229437228,4.8803827751
-2.5171762023,-9.939148073,-23.956594324,-0.88199513375
0.64477409833,-4.0540540541,-14.928649835,-6.7634812714
-4.1160191428,-6.8075117371,-11.483870967,-0.92244619063
0.29978791608,15.869017632,4.664723032,9.172413793
4.8029380436,12.391304347,6.1281337048,5.9696778269
7.456083131,33.268858801,14.04199475,-4.1728763039
4.8824134381,12.917271407,10.586881473,3.5147744946
0.020163268709,13.23907455,-12.27887617,-10.456730769
-3.145670165,-2.8376844495,-12.692763938,9.7315436244
6.1567723329,6.3084112151,13.858695652,4.98470948
11.139251706,30.32967033,31.145584726,5.9714535391
0.51923917144,3.8785834739,-7.6433121019,3.490929082
0.014012296924,-11.363636363,-13.30049261,-7.0385126163
0.87850416494,0.25443218747,-0.22727272735,3.4409954369
-10.871318171,-24.311926605,-12.300683371,-25.625711035
-5.1998726835,-11.272727272,2.0779220778,-10.936902485
8.8753385673,21.174863388,16.79389313,7.3422069558
-3.2099165317,-9.019165727,-4.3572984749,-2.4
3.4754640636,3.0978934325,6.3781321183,-3.3196721311
10.185117849,23.557692308,2.4625267668,18.4824078
2.3797706683,-9.046692607,-7.314524556,1.0017889088
-1.8063544177,-1.3903743316,-0.33821871484,11.583421891
10.816674587,7.2374225927,15.384615384,37.682539682
-1.8578194185,-1.5290519877,28.235294118,-9.2690800091
-0.17763368178,3.933747412,24.235474006,6.7344345616
0.98388547831,-13.373977568,-10.523076923,14.699306711
0.70261193887,-4.9826187717,19.348017665,-5.9361702127
4.0573709332,9.0243902439,1.0278113663,6.9215109703
0.83683612102,-2.0029341626,-1.0771992818,12.968055849
-0.66546098187,-9.7142857143,-13.127646702,-3.1835205993
3.5702021296,-1.1392405064,-5.9251485113,-4.0618955513
2.3624062631,-7.042253521,-10.808767951,10.120967741
0.94520761686,17.217630854,6.440677966,5.0897107287
6.8482263496,11.750881316,12.340764331,5.5052264808
-1.6297846502,1.261829653,-8.5754783841,0.72655217955
-8.4291068513,-15.160955348,-13.333333333,-3.6885245901
-29.904329943,-39.779681763,-37.567084079,-33.429787234
10.252197487,-1.5306315249,28.366762178,5.9455005761
8.5667023866,28.125,15.30486401,35.528942116
8.7562965811,18.211382114,3.4883720929,6.2223858615
8.2650594146,11.829436038,14.700374532,5.459272097
-3.4428266259,24.846248462,24.163265306,-21.528348398
-4.7960257283,-1.1822660098,8.4812623274,-1.9895287958
-0.68811494893,8.6739780658,24.484848485,-9.1880341881
15.902648575,25.229357798,14.459591041,4.7999999999
9.297099216,7.032967033,35.47426627,-0.22451728773
-3.3185864502,-9.6509240246,-4.5525902669,-8.0333033303
-4.3734137035,23.03030303,8.1249999999,-9.9584046979
5.9967644891,5.2955665025,15.302707636,11.956521739
1.937792947,32.046544464,29.788918206,4.8093354419
6.1583426021,-11.513776696,-7.4521432589,-8.5320243105
0.46422898322,-3.8267875126,-2.0703472842,-6.5167390749
-3.9438521546,7.6963350786,6.2741532167,-3.0617823947
-2.4792614235,-10.11181332,-23.354275991,1.8894529047
-6.5683299766,-7.3254349137,-17.584624211,6.7533905341
-6.7385570796,-17.803970223,-20.710059172,-8.737360643
-1.531641667,2.5660377358,-4.4776119402,-4.3181818182
2.8523545743,12.96432794,14.843749999,19.299287411
6.9842583323,5.3430079155,3.018145854,-7.018417123
0.89031456209,-7.8897933625,-1.7227877838,10.840471092
6.0607852402,-5.0305914345,3.7051792828,15.213716493
-10.102623158,-14.66913406,-19.054936612,-4.7254128936
3.2206837916,-3.0946065428,7.1197048313,2.8070963395
-11.502919923,-21.076642336,-29.304029304,-7.885539537
