"Data","RRRP3","ALPA4","ABEV3","AMER3","ASAI3","AZUL4","B3SA3","BIDI11","BPAN4","BBSE3","BRML3","BBDC3","BBDC4","BRAP4","BBAS3","BRKM5","BRFS3","BPAC11","CRFB3","CCRO3","CMIG4","CESP6","CIEL3","COGN3","CPLE6","CSAN3","CPFE3","CMIN3","CVCB3","CYRE3","DXCO3","ECOR3","ELET3","ELET6","EMBR3","ENBR3","ENGI11","ENEV3","EGIE3","EQTL3","EZTC3","FLRY3","GGBR4","GOAU4","GOLL4","NTCO3","SOMA3","HAPV3","HYPE3","IGTI11","IRBR3","ITSA4","ITUB4","JBSS3","KLBN11","LIGT3","RENT3","LCAM3","LWSA3","AMAR3","LREN3","MGLU3","MRFG3","CASH3","BEEF3","MOVI3","MRVE3","MULT3","PCAR3","PETR3","PETR4","PRIO3","PETZ3","PSSA3","POSI3","QUAL3","RADL3","RDOR3","RAIL3","SBSP3","SANB11","STBP3","CSNA3","SLCE3","SULA11","SUZB3","VIVT3","TIMS3","TOTS3","UGPA3","USIM5","VALE3","VIIA3","VBBR3","WEGE3","YDUQ3","IBOV"
2022-01-01,13.979135618,-21.100139994,-2.9182879377,0.41165294497,-3.3179012345,19.909688013,31.827829464,-9.0654532726,2.34082397,11.518072289,15.884476534,16.242219971,18.802670693,7.3629451781,13.206239168,-14.679854242,-0.84369449378,16.005198868,9.3114754098,12.165660051,0.15255530125,8.2752208275,0.87719298244,4.8780487807,13.378561989,9.5896726601,7.8270592619,3.5608308606,7.7496274218,10.773130545,-0.06684491982,8.1967213115,5.6270577672,4.4531960011,-18.170829976,6.438834349,3.5096039839,-6.6431095405,5.9619890655,1.5479876161,4.5476772617,12.39577543,2.1276595744,1.669595782,7.3987081621,-10.735351946,13.904163393,21.965317919,10.045985143,10.68068622,-18.656716418,15.705205953,21.008869047,-7.5362318839,-3.0397505846,-1.1914893617,10.566037735,11.569544874,-26.291793313,-6.3157894736,15.057283142,-3.0470914127,1.857725419,-10.185185185,-10,4.4359949305,11.75,14.85042735,4.1417395307,14.885993485,13.708260105,15.72327044,8.7965791083,-5.2103250479,-14.128440367,8.8757396448,-4.6913580247,-1.1376310507,-12.049549549,-7.018417123,9.8738594717,8.5536547434,3.018145854,12.320675105,-7.6027646417,-0.33861933716,3.0919277859,0.91254752861,1.501396648,3.9202200825,5.3430079155,3.7326834274,-10.095238095,7.0093457944,-2.4863553668,7.5389105057,6.9842583323
2022-02-01,-11.40167364,-11.519944979,1.5364061455,-1.3867730912,7.4221867517,-13.420061622,-0.27359781116,-22.286374134,-8.417200366,3.5053551279,-2.2845275183,-9.1719804504,-10.671532277,12.262392843,7.8077158605,-2.9286150091,-25.167935513,6.2887877533,14.277144571,-9.5384615385,-2.5133282559,-2.1468441391,11.739130434,-12.403100775,-3.4818941504,-11.190576356,4.597303837,-11.1747851,-13.208852005,-13.157894736,-7.8929765886,-18.055555556,-1.4735052422,-0.20301624145,-13.343180699,-3.3582089552,1.0080183276,1.9682059046,-0.13364082733,11.367595819,-17.820392891,-11.177052423,-8.5488505748,-10.025929127,-5.5221432477,1.9823788545,-10.48275862,-4.1864139021,7.6824172293,-3.15,-6.4220183486,-1.6683022572,0.67668625088,2.2798518095,-5.3972765627,-15.159345391,-1.8430034129,-3.6218070912,2.9896907217,-13.483146067,-9.9573257467,-14.142857142,-1.3790035587,-18.900343643,13.312368973,-0.91019417487,-10.887397464,2.7441860464,2.9606716747,3.1187978451,5.1004636785,7.9431438127,-1.7967434026,5.7992939992,-14.636752136,-30.108695652,0.86355785825,15.072202166,-0.76824583857,10.840471092,-3.465784768,-7.1633237823,-1.7227877838,-4.3714658546,38.582677166,-6.9763513514,0.98631239925,2.5621703089,13.691090471,-1.9854401059,-7.8897933625,14.109063929,-19.70338983,3.0131004367,-7.948432382,-3.8896426956,0.89031456209
2022-03-01,23.52420307,1.3214146909,1.3157894737,7.0491803279,21.02526003,-5.4171609331,9.07948696,5.2673647642,5.7942057943,10.9375,-1.381509033,7.2019059233,9.2921582969,9.8273572377,1.5178732543,-7.1862560235,11.250748055,1.3623978202,18.215223097,16.496598639,20.009757554,10.794207986,21.011673152,25.221238938,9.0909090908,12.032212221,6.6424322538,-2.7419354838,32.988047809,15.217391304,6.6085693536,17.565485362,9.2320966349,8.9799476898,-15,13.513513513,10.705375368,9.725315516,8.4524705293,6.4137661322,9.4122770781,-6.9540810219,21.857535337,18.797256725,-0.46296296287,12.52699784,17.411402157,-2.3907666942,16.490019908,5.5756324213,14.379084967,8.4109371957,7.9664549639,3.7336305377,3.9655172412,5.0761421318,6.4752390301,8.0247700787,1.1011011011,5.1948051949,9.2411558631,13.477537437,-3.4731619307,8.4745762712,17.113783534,7.9019997378,7.5313807532,10.819375283,3.6480686695,-3.1069562827,-1.6176470587,-7.7846630519,6.6895368782,0.61963775006,15.76971214,24.65007776,2.4828767124,-2.1568627451,19.677419355,15.213716493,19.19844861,18.310402972,3.7051792828,13.259040254,-2.3295454545,0.14526965679,7.2457176522,1.9128233485,10.075642965,-3.2951726173,-5.0305914345,7.5806242037,10.026385224,-0.89020771511,18.738209067,-1.4588235294,6.0607852402
2022-04-01,10.46594982,-24.817798236,-5.7142857142,-26.493108729,-5.4387714907,-8.1521739131,-15.340547422,-28.443396226,-11.614730878,-0.50860719875,2.2629310346,-10.14448605,-10.913192496,-11.45707376,-4.2651296831,-5.5520161216,-26.949973104,-11.328725038,-8.573321667,-8.8363356884,-3.550295858,0,9.3247588426,-13.427561837,-1.5873015873,-11.205073995,12.023551286,-13.764510779,-20.55122828,-15.915853256,-12.329700272,-9.4364351245,8.5792272632,11.286906489,-5.013368984,-4.3813961188,-2.3970497848,-7.1718538566,-3.0989824237,-5.7699375229,-16.48,-9.931292942,-9.2177864331,-7.3409461663,-11.569767441,-28.194155345,-20.734908137,-25.929054054,-3.3324722296,2.640586797,-20.857142857,-14.325581395,-13.080999987,1.6653236637,-14.013266998,-11.305586739,-13.355155482,-13.25478645,-29.00990099,-28.086419753,-13.636363636,-28.445747801,-9.8081433648,-26.5625,6.431493643,3.892386949,-19.688715953,0.69444444434,-14.404665074,2.961997186,-1.0556443536,12.137757245,-18.332726652,-1.512402684,-15.567567567,-17.217716781,-12.427249158,-26.247251442,-11.655571683,-4.7254128936,-12.774334871,-6.9553805775,-19.054936612,6.2449799196,-22.745782432,-10.045330915,1.641133699,-2.2480058014,-12.122045079,-7.6325088339,-14.66913406,-12.876569037,-28.776978417,-9.1778228778,-13.679380556,-22.436002493,-10.102623158
2022-05-01,5.4510058404,10.969387755,-2.2727272727,-16.25,3.664921466,-8.466090123,-3.984962406,-17.007251154,-14.469798068,5.7019268581,-10.453039588,13.344894288,14.136090973,3.1272183709,12.193148105,10.641471904,15.243004418,9.7444781291,-5.9309674282,7.4939564867,7.6206194359,0,17.088008994,8.1632653062,6.4766519876,5.2578708637,2.4075825622,1.8866555778,-17.647058824,-3.5335689046,-12.898212898,6.6570188133,4.100790514,3.6861768369,-10.344827586,1.3220018885,-6.7590260286,13.556851312,6.4874255791,-4.88,4.5715780789,5.2704576976,6.4417941203,10.02176892,-4.6022353716,-11.403980634,-5.4154247711,-23.375142531,3.6611437734,-3.9164173864,6.1371841155,4.125950054,9.6747280668,-3.2762772047,9.2501030404,-13.773796192,9.2168437885,9.0844902461,-7.810320781,3.4334763948,12,-23.770491803,-16.64,1.0638297872,8.3015993907,3.6417336527,-6.3953488373,-2.2718052738,-0.49188391531,9.917350117,10.628075076,4.831460674,-20.354563362,1.9164619163,0.40454650061,-13.739010177,-1.3377926422,-2.4775387964,8.0024434941,2.8070963395,5.6692913386,2.6798307475,7.1197048313,8.6486029733,0.90361445782,9.0857070416,-3.8613247249,6.824925816,-11.260556772,13.361957697,-3.0946065428,3.5058230278,5.7239057238,-7.9545454545,-15.714285714,0.37220843678,3.2206837916
2022-06-01,-27.897435897,-11.999999999,-5.5673009162,-33.184079602,-9.9116161616,-38.438587767,-13.166237136,-17.394757744,-23.43358396,-3.4226190477,-11.005917159,-13.740488312,-15.138942212,-11.686494051,-8.1668045351,-16.314606742,-13.162939297,-11.957379636,-13.191284903,-6.071964018,-9.5348005017,0,-5.0632911392,-19.245283019,-7.3270013569,-15.779731605,-8.3679525223,-20.082815735,-36.08058608,-13.406593406,-11.953612845,-22.659430122,9.634551495,12.178717271,-10.204081632,-4.4268406336,-9.1625393967,-5.1989730424,-5.9225512529,-3.9529015979,-11.186232329,7.3781291172,-23.380185122,-21.65709598,-37.491385251,-18.518518519,-18.871252205,-18.601190476,-1.1492054517,-9.3245967742,-30.952380952,-12.820512016,-13.28247078,-11.264044943,-9.5792300805,-24.935064935,-8.8838664813,-6.7033005215,-14.97730711,-28.630705394,-14.343405164,-37.096774194,-22.520793346,-43.157894737,-6.6807313642,-26.972579743,-17.132431988,-7.8718086009,-19.228868018,-8.1779915815,-7.0858283433,-21.436227224,-18.086303078,-14.368370298,-26,-0.62388591805,-7.0217917674,-19.095477387,-9.6719457013,-7.885539537,-14.128166915,-10.439560439,-29.304029304,-19.544211486,-17.537313433,-7.1214953271,-7.8158667973,-10.593583543,-18.011984491,-14.335421015,-21.076642336,-11.19359703,-38.853503185,-14.043209876,4.4278623709,-19.221260816,-11.502919923
