"Data","Equal Weights","HRP","MV"
2005-01-01,-5.76884740145093,-4.42081672659077,-2.35555037904126
2005-02-01,14.5485432551846,12.9231894557,10.9375464633734
2005-03-01,-6.40515889130769,-6.25161270205344,-5.38479546587372
2005-04-01,-6.62228119112577,-9.62468688942196,-15.582348159721
2005-05-01,4.03535065388162,3.45369483309933,3.27543702739315
2005-06-01,-1.04568264610385,1.39163152619411,1.951423064167
2005-07-01,3.20646141126077,3.03553567825559,3.88576397091604
2005-08-01,9.28292197281269,9.95837451798645,7.28717661135185
2005-09-01,12.6448908012731,12.1275653670929,17.813332413771
2005-10-01,-4.86394842412308,-3.54100126643177,0.338740733056242
2005-11-01,8.28421540714615,9.54003084673303,8.48677040183711
2005-12-01,5.73720940488731,8.0467132613386,9.20680959051289
2006-01-01,17.2916325586192,17.6129414344411,14.5515991322691
2006-02-01,3.74721298245231,1.71826925915736,2.25547351873745
2006-03-01,-1.352522802605,-0.552630012460457,0.697354552409566
2006-04-01,5.89853064514269,5.07024737728586,2.88536214698144
2006-05-01,-7.99468491009577,-6.56922736536611,-1.66793666294923
2006-06-01,1.44840802315538,1.25709029431817,0.436984244990845
2006-07-01,0.473758975993077,0.0367359879470334,-2.52388850107641
2006-08-01,0.798763166710115,0.556200097522173,0.511509275486226
2006-09-01,0.692954461328462,0.828675842966467,-0.736508625531567
2006-10-01,5.86223366389038,5.40737889888241,5.67363389424029
2006-11-01,6.25755357450269,5.98864332423857,6.50145870951515
2006-12-01,6.99485167122808,7.65885829320586,9.21460079179235
2007-01-01,1.24286553171731,1.20380812184113,4.15682303717126
2007-02-01,-2.31321527964615,-1.39462618861776,-0.850757827211523
2007-03-01,4.5448943000071,4.57948979195391,4.88677651009298
2007-04-01,6.64616395076885,7.30620449138366,8.79037785547892
2007-05-01,7.45532302961923,6.94682879765324,8.19958144507338
2007-06-01,5.82374774408785,5.11306260006668,4.2455002817913
2007-07-01,-0.768444874594538,0.570685439293837,3.08185473490066
2007-08-01,0.986407693807423,1.33066622081797,2.04023121251448
2007-09-01,5.31935307281346,5.90633290450038,7.11543140198104
2007-10-01,5.92558882070615,5.7208272788453,3.68007871214065
2007-11-01,-4.46320084646846,-4.34031220615448,-6.94976420588679
2007-12-01,-1.47430867989385,-0.226575594406315,-5.83757215953181
2008-01-01,-8.58536932763461,-9.06955890223349,-9.21072163372504
2008-02-01,9.031887802985,7.8578624802639,7.71370099550844
2008-03-01,-3.65955759373654,-4.38317160783547,-1.37951867047425
2008-04-01,10.1783486859412,10.4725558301214,6.65651944567422
2008-05-01,7.46778211233308,7.16148564502718,5.11036145750451
2008-06-01,-8.85857512614154,-9.80613076962811,-5.84424680421493
2008-07-01,-4.54489095031669,-5.15271569941318,-7.30365876663502
2008-08-01,-6.16935193120554,-5.51756097237124,-7.25376183006892
2008-09-01,-6.99500858957327,-5.75244399139288,-1.35268227324818
2008-10-01,-20.0813890766231,-19.8173809058821,-14.3413611948072
2008-11-01,0.440733630161154,1.33509570310455,4.40262430271087
2008-12-01,0.987231784894231,0.544621702983319,-0.120537535572531
2009-01-01,2.73851408066846,1.57204314265974,-2.0025045774955
2009-02-01,-3.49145562772308,-3.18071117712967,-1.85731399459583
2009-03-01,6.87791845296538,6.69807523496071,6.09185818077584
2009-04-01,14.5591680667731,12.8268037760086,7.80355132663646
2009-05-01,10.3257449329304,8.53532378966853,5.1479389936865
2009-06-01,-2.39874177903692,-1.86757872235618,-1.06623085417835
2009-07-01,3.01355870172538,2.24229688251959,-0.831693975659081
2009-08-01,3.70406887002692,4.45329308720675,6.084384630994
2009-09-01,6.99303654462462,5.63804509416118,3.64347801816164
2009-10-01,-0.730414716657846,-1.30292288301056,-0.391300747783644
2009-11-01,7.33515259634908,5.42625271708092,2.75709669208404
2009-12-01,6.34230416374077,5.82535830406615,4.54908844721455
2010-01-01,-2.54747971470385,-2.3117167451907,-2.02877229562697
2010-02-01,0.0334749236353847,-1.43884535656651,-2.3653176436734
2010-03-01,4.54653884989846,1.87577171625049,-2.67678081900535
2010-04-01,-2.56505204705462,-0.523002728243608,2.77120280504085
2010-05-01,-5.65613563107962,-4.51284696640545,-3.11955432374863
2010-06-01,0.394150605310385,2.72289528361719,4.53276893662392
2010-07-01,8.20595941332731,7.46592637528486,6.86935140856388
2010-08-01,-2.40560756068346,-0.569417476201327,2.6665929383042
2010-09-01,5.68719116728038,5.03504533987486,5.24652377690633
2010-10-01,2.25046538814462,3.7395661358804,5.91293796356816
2010-11-01,-2.75594261982331,-1.33007142620081,-0.646354834519066
2010-12-01,5.008866587295,4.87718035657068,4.87987664650647
2011-01-01,-1.154837968855,-1.57622609655367,-0.693006328193261
2011-02-01,2.11309666960238,1.9141894040212,2.47736188708425
2011-03-01,3.46550341185962,4.15808048289981,4.7493288829534
2011-04-01,-3.29596395160388,-1.46537315614347,-0.509477546972157
2011-05-01,-0.933951154246538,0.0441520957402944,2.05532844358973
2011-06-01,-1.36677667225038,0.101793717779757,0.34386571227748
2011-07-01,-7.64321096052346,-6.40645394629709,-3.01128178178661
2011-08-01,-2.40036919177538,-1.23860057508417,-1.48336692308664
2011-09-01,-3.91604734075769,-3.00271464322994,0.594560366969063
2011-10-01,8.05290883561385,6.42561158801229,5.02799529777126
2011-11-01,-1.86099210299231,0.075747742541901,1.2336766886652
2011-12-01,4.5570070994,5.86643725260663,6.76354782963526
2012-01-01,7.58487132859385,4.34671777659454,0.446498168109724
2012-02-01,4.07201417222038,5.01958224032458,5.46587321236474
