Date,Equal Weights,HRP,MV
2000-01-01,-2.8826252044240004,-2.8723292827644227,-0.749151009389295
2000-02-01,-0.2283439741591999,-0.34266810196696856,-3.188451827093898
2000-03-01,4.7922386904144005,3.4123420465810383,-1.3891523939318655
2000-04-01,-2.5603986084328,-1.488645737492071,2.485827996710469
2000-05-01,-6.137682570426801,-5.794305336342417,1.2585683414725066
2000-06-01,-0.3593141397171999,-0.2718666373896772,0.8582910164543733
2000-07-01,8.4361332737364,8.139468669377727,5.132300740158636
2000-08-01,-2.8069216225268003,-1.597374859177782,0.34512742948202924
2000-09-01,5.4440905786916,5.438113266901331,5.672148176754605
2000-10-01,1.9194313721103997,3.407303397161429,7.281916880897402
2000-11-01,-2.63647684147624,-1.8485178400442144,1.9750521134136498
2000-12-01,4.8274953624668,4.931423950777512,6.700426707084194
2001-01-01,-1.1676672614736,-1.8826034747931888,-4.287950303291347
2001-02-01,2.22005044293128,2.3354051338473614,3.3495019647416733
2001-03-01,3.342167869274,3.8629963525569835,2.9866555049305497
2001-04-01,-3.52780250966004,-1.7639431717128522,3.6384192895443466
2001-05-01,-1.2801470544084,-0.5163184300264241,0.9578435113970313
2001-06-01,-1.3564070887324002,-0.004037635491048408,2.8019812080264104
2001-07-01,-7.499352622104401,-6.092657697132296,1.3697260763281593
2001-08-01,-2.5251164209228003,-0.9619801600974311,1.4867210283740775
2001-09-01,-3.957340397176,-3.167272226416089,-0.23157072224304764
2001-10-01,8.007209097086399,6.984141970501761,2.9944715119221943
2001-11-01,-1.8046190547400003,0.014389770254272571,8.293911961588877
2001-12-01,4.217865323216,5.021372715835483,6.958027341107327
2002-01-01,7.3560081172176,5.479179694905527,2.017354903322925
2002-02-01,3.7765317497892,4.736503279961385,4.252629840704777
2002-03-01,0.7035486079440001,2.931271492180429,9.419208031175682
2002-04-01,-0.9161835127308001,0.1136299620798282,11.45440133218644
2002-05-01,-10.009641671652002,-9.068730649381358,-7.871393255506106
2002-06-01,2.4006916303287995,3.4348300687950584,5.761061186283178
2002-07-01,2.407437952378,1.760964463116441,-1.9032822024939726
2002-08-01,-1.7242274657272003,-2.695286528416006,-6.492855329656501
2002-09-01,1.3599350950911997,0.24893570663208509,-4.582710794098065
2002-10-01,-3.2246928747543997,-2.1014111966070446,3.5026839934898817
2002-11-01,0.3651127645688,2.1014089170002808,-2.819440159567745
2002-12-01,4.335711859085601,4.600160715460072,5.43454194922814
2003-01-01,1.6003922188680002,1.9742148989055988,2.3953217931987787
2003-02-01,-2.2750648806767995,-1.314978570390699,-13.033410854352306
2003-03-01,2.0737068506644,2.1070986282622983,1.5749928564256876
2003-04-01,-0.5084280692644002,-0.4556043339905442,0.4326680673373975
2003-05-01,-1.7378891870752002,-0.8485318029072383,2.1969835599597287
2003-06-01,-9.5118291293624,-8.686853758687008,-10.281940442565478
2003-07-01,3.9673857126247998,2.936781647567159,-1.9328757921394302
2003-08-01,4.415344300424801,2.23458405295812,-10.068280928531042
2003-09-01,6.645354543469961,6.048088489034221,3.019277092530772
2003-10-01,8.0384780462964,6.265737908010598,3.8372548159158404
2003-11-01,-1.4511499275408,-1.3164413121375098,-1.0953474228073077
2003-12-01,-0.04642044409080007,-0.4266984838700534,-2.838959874334428
2004-01-01,-8.642531520785202,-6.771558779950092,-3.9837971797669756
2004-02-01,-4.2516981861964,-3.2626216916902857,2.308260807232278
2004-03-01,8.769175148565601,7.945931583901858,4.318190360171721
2004-04-01,1.607798524936,0.7040296754990929,-1.5761503374877295
2004-05-01,-1.8274575254556,-1.3868609766090105,-0.008883910156513908
2004-06-01,2.9066856649612003,2.812656809940883,4.196492129184689
2004-07-01,5.0626307849988,3.579411906358731,2.6893454787359534
2004-08-01,9.4043248209176,9.945032233445412,8.108914375758179
2004-09-01,-11.480249904192,-9.354100456420754,-4.100007514174722
2004-10-01,-0.8468953495043998,-0.047777765932652594,-1.403792376649215
2004-11-01,-2.0834226049408,0.14801252201302684,-0.26709061251566624
2004-12-01,-8.135643436496,-7.0105711845974374,-2.9262938552897655
2005-01-01,-11.2073923275124,-7.916684114798311,-4.465756391361577
2005-02-01,11.6953292257868,10.555576949833707,7.890948614584552
2005-03-01,-0.6350813456023999,-0.9822364506618961,-0.22602629534208363
2005-04-01,13.745094794728802,9.536005152864767,13.525250324541567
2005-05-01,-7.175375953831999,-5.17588372112295,-1.8991810528397757
2005-06-01,-2.8773423263491997,-1.5969749012184185,-0.5409035109748168
2005-07-01,-7.4316145577104,-3.016254627557892,2.6548364663500523
2005-08-01,-10.530612039286801,-8.980237888130087,-4.089005586330101
2005-09-01,-1.06911737170744,-1.8545467073763375,-0.12480012500189908
2005-10-01,3.7084005934383595,4.572466031082804,3.704718390673782
2005-11-01,-0.10286304262679946,-0.1212675962864067,-11.923613156768491
2005-12-01,-7.543106069838561,-4.129025104573426,4.087971962221105
2006-01-01,-10.538452471944002,-6.170572086500352,3.0299971943318855
2006-02-01,7.3073088193092,5.443957465197068,5.127416916860246
2006-03-01,30.03578362396,19.309656983050886,-12.846470639020364
2006-04-01,12.873428172691598,6.282092372308382,-4.747011793324006
2006-05-01,-15.380428696071998,-9.413861985614894,-2.928547301449773
2006-06-01,12.9068551375388,10.225435830861228,7.926045568705713
2006-07-01,19.6438642943776,11.340985701436837,4.783713427923097
2006-08-01,5.3059334870404005,3.2104295644320455,-4.691209162724518
2006-09-01,-0.8213454574400001,-0.7997013716340593,-3.352544028499743
2006-10-01,16.826773915292,10.146162734021374,2.6599658940584097
